DateTime,Description,Plant Code,Alarm Group,Alarm State,Value,Operator,Operator Node
12/15/2024 00:02:02.909,Remote shutdown reset,SCA051OS7308ING,Genset_5,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.909,Remote shutdown reset,SCA041OS7308ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.909,Remote shutdown reset,SCA021OS7308ING,Genset_2,         ,ON,WOIS,CWA901
12/15/2024 00:02:02.925,Remote shutdown reset,SCA061OS7308ING,Genset_6,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.112,Shutdown and alarm reset,CFA901S011RSC,Common,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.159,Shutdown and alarm reset,CFA902S011RSC,Common,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.190,Shutdown reset,CFC021S011RSC,Genset_2,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.233,"DER, Pgas, Gas feed pressure",SOB121F159INF,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.233,"DER, Trec, Charge air temp in receiver",SOB121F153INF,Genset_12,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.413,"UNIC to PLC HW, Open gas supply request, OS9310",CFC041A328INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.413,"PLC to UNIC HW, Start command, OS7302",CFC041A302INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.500,"Gas ventilation valve status, V037 & V038",ZAC041V038INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.500,"Gas shutoff valve status, V034",ZAC041V034INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.500,"Gas ventilation valve status, V037 & V038",ZAC041V037INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.500,"Gas shutoff valve status, V033",ZAC041V033INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.739,Remote shutdown reset,SCA111OS7308ING,Genset_11,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.739,Remote shutdown reset,SCA091OS7308ING,Genset_9,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.739,Remote shutdown reset,SCA081OS7308ING,Genset_8,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.739,Remote shutdown reset,SCA071OS7308ING,Genset_7,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.895,Slowturning solenoid,SCA041CV331ING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:03.895,Remote shutdown reset,SCA031OS7308ING,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.911,"MCC, degassing valve control",SCA041CV947ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.911,"PCC, degassing valve control",SCA041CV957ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:03.911,Open gas supply,SCA041OS931OING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:04.113,"PLC to UNIC HW, Shutdown reset, OS7308",CFC041A301INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.143,"PLC to UNIC HW, Shutdown reset, OS7308",CFC061A301INF,Genset_6,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.153,"PLC to UNIC HW, Shutdown reset, OS7308",CFC031A301INF,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.160,"PLC to UNIC HW, Shutdown reset, OS7308",CFC111A301INF,Genset_11,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.166,"PLC to UNIC HW, Shutdown reset, OS7308",CFC021A301INF,Genset_2,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.182,"PLC to UNIC HW, Shutdown reset, OS7308",CFC011A301INF,Genset_1,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.185,"PLC to UNIC HW, Shutdown reset, OS7308",CFC071A301INF,Genset_7,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.206,"PLC to UNIC HW, Shutdown reset, OS7308",CFC091A301INF,Genset_9,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.213,"PLC to UNIC HW, Shutdown reset, OS7308",CFC121A301INF,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.741,Remote shutdown reset,SCA101OS7308ING,Genset_10,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.897,Remote shutdown reset,SCA051OS7308ING,Genset_5,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.897,Remote start,SCA041OS7302ING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:04.912,Remote shutdown reset,SCA061OS7308ING,Genset_6,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.726,Remote shutdown reset,SCA071OS7308ING,Genset_7,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.726,Remote shutdown reset,SCA081OS7308ING,Genset_8,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.744,Remote shutdown reset,SCA121OS7308ING,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.744,Remote shutdown reset,SCA111OS7308ING,Genset_11,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.744,Remote shutdown reset,SCA091OS7308ING,Genset_9,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.900,Remote shutdown reset,SCA041OS7308ING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.900,Remote shutdown reset,SCA031OS7308ING,Genset_3,         ,OFF,WOIS,CWA901
12/15/2024 00:02:05.900,Remote shutdown reset,SCA021OS7308ING,Genset_2,         ,OFF,WOIS,CWA901
12/15/2024 00:02:07.075,"Gas shutoff valve status, V033",ZAC121V033INF,Genset_12,         ,OFF,WOIS,CWA901
12/15/2024 00:02:07.159,"ALM, GRU, Main line gas inlet pressure high",ZAC121P010AH,Genset_12,ACK_RTN,OFF,Manager1,CWA901
12/15/2024 00:02:08.634,"ALM, GRU, Main line gas inlet pressure high",ZAC041P010AH,Genset_4,UNACK_ALM,ON,WOIS,CWA901
12/15/2024 00:02:09.464,Gen. voltage supervision,CFC031S014ACK,Genset_3,         ,ON,WOIS,CWA901
12/15/2024 00:02:13.433,"UNIC to PLC HW, Open gas supply request, OS9310",CFC041A328INF,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:13.912,Slowturning solenoid,SCA041CV331ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:13.912,Start solenoid valve,SCA041CV321ING,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:13.928,"MCC, degassing valve control",SCA041CV947ING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:13.928,Open gas supply,SCA041OS931OING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:13.928,"PCC, degassing valve control",SCA041CV957ING,Genset_4,         ,OFF,WOIS,CWA901
12/15/2024 00:02:15.802,"UNIC to PLC HW, Open gas supply request, OS9310",CFC041A328INF,Genset_4,         ,ON,WOIS,CWA901
12/15/2024 00:02:16.902,Engine gas ventilation complete,SCA041IS884ING,Genset_4,         ,ON,WOIS,CWA901
